exhibition_number,artist_info,label,object_number,exhibition_location,exhibition_area,gallery_location
01-001,,"Account book of G. Woollard, Grocer, Trinity Street",,Hanging case,D,20th century 
02-002,,"Two-handled cup without lid (inscription Parker Arms on Underside. London S, TL Monogram in Shield)",,Wall Case ,A,Adeane
02-003,,"Two-handled cup with lid (inscription London N, IP in Baroque Shield)",,Wall Case ,A,Adeane
02-005,,Parker Standing Covered Cup with ‘man and staff’ finial (inscription +matthaevs. Cantvar Dedit Collego Corporis Chris Cantab,,Wall Case ,A,Adeane
02-006,,Parker Standing Salt and Cover,,Wall Case ,A,Adeane
02-007,,Parker Rosewater Basin,,Wall Case ,A,Adeane
02-008,,Parker Ewer/Jug,,Wall Case ,A,Adeane
02-010,Pieter Andreas Rysbrack (c.1684–1690–1748) (attributed to), Still life with vegetables and fruit,,NW Wall ,G,Mellon
02-011,,A Proper Newe Booke of Cokerye,SP447,Hanging case,D,20th century 
03-012,,The Parker Flagon. An Elizabeth I silver gilt tankard or small flagon,,Wall Case ,A,Adeane
03-013,,A coconut cup with silver-gilt mounts. The circular base raised on three feet cast in the form of lions sejant,,Wall Case ,A,Adeane
03-014,,"A coconut cup with silver-gilt mounts. On spreading base chased with radiating staves and stylized flowerheads, the nut with pierced ladder straps, the everted rim with moulded lip.",,Wall Case ,A,Adeane
04-015,,Virgil's Goerics,MS311,Hanging case,B,Adeane
04-015,,Late fifteenth-century cook book with receipts for a noble household,MS674,Hanging case,D,20th century 
05-017,," Commons book from 1586, with The Potticarie's Bill",,Hanging case,D,20th century 
06-025,,Sugar bowl promoting East India sugar produced by free labour and not slave labour of West Indies Sugar plantations. Staffordshire pottery,,wall mounted case,C,Adeane
06-027,,Food warmer painted in underglaze blue. Lowestoft porcelain,,wall mounted case,F,Mellon
08-029,,‘Vollstandiges und von neuem vermehrtes Trincir-Buch’,20882,Hanging case,D,20th century 
09-030,Giuseppe Arcimboldo (1527-1593),Summer,,NW,G,Mellon
10-031,,"List of Expenses for Food purchased for dinner held by Lady Margaret Beaufort’s Executors, c. 1510 4). 3), D.56.176 ",,Hanging case,D,20th century 
10-032,,"Printed book, Tacuini sanitatis (Strasbourg: Johann Schott, 1531), Ll.4.27",,Hanging Case,F,Mellon
10-034,,"Autograph letter signed to William Philp Perrin from Jamaica, 1797, ref no Slavery/7/1 - no. 8",,wall mounted case,C,Adeane
12-036,,Isaac Newton's undergraduate notebook with accounts,R.4.48c,Hanging case,D,20th century 
13-038,,Document regarding regulation of selling food in Cambridge **loose sheets**,Univeristy Archives Acta References Comm.Ct.V.7,Hanging case,D,20th century 
13-039,,A closet for ladies and gentlevvomen,SSS.27.5,Hanging case,D,20th century 
13-040,,"The Accompisht cook, or the art and mystery of cookery",Hhh.621,Hanging case,D,20th century 
13-043,,"Wisdom's dictates, or Aphorisms & rules, physical, moral, and divine, for preserving the health of the body, and the peace of the mind, fit to be regarded and practised by all that would enjoy the blessings of the present and future world ",Hunter.e.69.12,Hanging case,F,Mellon
13-044,,The Good House-wife made a doctor,Hh.19.17/2,Hanging case,F,Mellon
13-045,,"Acetaria, A Discourse of Sallets",Keynes.B.2.27,Hanging case,F,Mellon
13-247,,Opera,L.4.23,Hanging case,D,20th century 
14-046,,Tudor manuscript book with swan markings and owners ,WISFM:1851.127.1,Wall case,B,Adeane
14-047,,St Peter's Wisbech Church Acounts book with diet for poor parishioners,WISFM:E14/36/35,Display case,E,Mellon
15-048,,Fruitwood gingerbread mould (as depicted in the Van Mieris painting ,,"Wall case 5, ginger and sugar",,Adeane
15-049,,"Trophy mould for Twelfth Cake ornamentation, Fruitwood",,Confectioners Workshop plinth,,Adeane
15-050,,"Border mould for Twelfth cake ornamentaion, Fruitwood",,Confectioners Workshop plinth,,Adeane
15-051,,"Crown sugar mould for Twelfth Cake, Fruitwood",,Confectioners Workshop plinth,,Adeane
15-052,,"Crown sugar mould for Twelfth Cake, Fruitwood",,Confectioners Workshop plinth,,Adeane
15-053,,"Confectioner's mould for constructing a figure of Neptune, Fruitwood",,Confectioners Workshop plinth,,Adeane
15-054,,A set of two moulds for making sugar walnuts. Austrain. Late 18 - Early 19th century. Larger mould for maing shells and smaller mould for making walnut kernel,,Confectioners Workshop plinth,,Adeane
15-055,,"Mould for sugar sea shells and cornucopia. Fruitwood,",,Confectioners Workshop plinth,,Adeane
15-056,,"Pewter pineapple ice cream mould. English, no maker's marks",,"Wall Case 4, Pineapples ",,Adeane
15-057,,Salt glazed stoneware mould for making a a flummery in the form of a pineapple. Staffordshire,,"Wall Case 4, Pineapples ",,Adeane
15-058,,Large glass salver,,Confectioners Window plinth,,Adeane
15-059,,Pan top syllabub glass,,Confectioners Window plinth,,Adeane
15-060,,Pan top syllabub glass,,Confectioners Window plinth,,Adeane
15-061,,Double handled jelly glass ,,Confectioners Window plinth,,Adeane
15-062,,Single handle jelly glass (small hairline at top handle joint),,Confectioners Window plinth,,Adeane
15-065,,English wrought iron and brass spitjack,,SE Wall,,20th Century 
15-067,,Continental largin pins and olive wood case,,desk case,,20th Century 
15-070,,Italian bronze spirone di pasta with scimitar blade,,NW hanging case,,20th Century 
15-071,,9 bone confectioner's tools for making sugar flowers,,Confectioners Workshop plinth,,Adeane
15-072,,Wooden replica frame for drying sugar flowers,,Confectioners Workshop plinth,,Adeane
15-073,,A set of thirteen reproduction Italian 16th century cooks knives based on an engraving in B. Scappi. Opera. Venice,,SE Wall,,20th Century 
15-074,,The Country Housewife (London),,Display case,B,Adeane
15-074,Richard Bradley ,The Country Housewife (London),,"hanging case, SE Wall",,Adeane
15-075,,A general treatise of husbandry and gardening for the month of August (London) ,,Wall case,C,Adeane
15-075,Richard Bradley ,A general treatise of husbandry and gardening for the month of August (London) ,,"Wall Case 4, Pineapples ",,Adeane
15-076,,Opera (Venice),,Display case,D,20th century 
15-076,Bartolommeo Scappi,Opera (Venice),,NW hanging case,,20th Century 
15-077,,Receipts of Pastry and Cookery,,Display case,D,20th century 
15-077,Edward Kidder,Receipts of Pastry and Cookery,,NW hanging case,,20th Century 
15-078,,A Complete History of Drugs (London),,Display case,C,Adeane
15-078,Pierre Pomet,A Complete History of Drugs (London),,NW hanging case,,Adeane 
15-079,,English latten pastry jagger or rowle with measuring spoon,,NW hanging case,,20th Century 
15-080,,English latten pastry jagger with heart design,,NW hanging case,,20th Century 
15-081,,Dutch brass pastry jagger c.1630 with a depectionof a baker in guild dress and hate holding a rolling pin draped in pastry,,NW hanging case,,20th Century 
15-082,,English latten pastry jagger with pastry crumper end and stamped design,,NW hanging case,,20th Century 
15-248,,Wooden card gingerbread mould with images of William and Mary,,"Wall case 5, ginger and sugar",,Adeane 
15-249,,Two resin pressings simulating the gingerbread king and queen with guilded crowns,,"Wall case 5, ginger and sugar",,Adeane 
15-250,,"Two wooden biscuit prints one engraved with Royal Volunteer Bisuit, the other with York",,Confectioners Workshop plinth,,Adeane
15-251,,Wooden gingerbread print with Royal Arms,,"Wall case 5, ginger and sugar",,Adeane 
15-252,,Confectioner's gum paste mould with various motifs on one side and a mosaic for making baskets on verso. Motifs include swags and drops used on one of the twelfth cakes.,,Confectioners Workshop plinth,,Adeane
15-253,,unmarked Staffordshire cream ware mould with pineapple motif,,"Wall Case 4, Pineapples ",,Adeane
15-254,,Small 2 part gum paste confectioner's mould for creating an equestrian figure of a soldier,,Confectioners Workshop plinth,,Adeane
15-255,,"Pewter sorbetiere and spaddle. Sorbetiere is from Gunter's of Berkley Square, formerly The Pot and Pineapple confectionery shop started by Domenico Negri in 1758",,"Wall Case 4, Pineapples ",,Adeane
15-256,,"Temple of Circe & Dome - Sugar sculpture. Plus surtout, mirror glass, parterre compnents, sugar sand",,Confectioners Workshop plinth,,Adeane
15-257,,Miniature charms for placing inside Twelfth cakes:2 ceramic beans and 2 miniature playing cards,,Confectioners Workshop plinth,,Adeane
15-258,,Cutter in the shape of a petal for making sugar flowers,,Confectioners Workshop plinth,,Adeane
15-259,,Teatrum Botaniain,,wall case,C,Adeane
15-259,John Parkinson,Theatrum Botanicum,,"Wall Case 4, Pineapples ",,Adeane
15-260,,The Lady's Companion (London: 1751. Fifth Edition with Large additions),,Display case,D,20th century 
15-260,Anon.,The Lady's Companion (London: 1751. Fifth Edition with Large additions),,Plinth with hood,,20th Century 
15-261,Menson,La science du maitre d'hotel confiseur. Paris: 1768. Large folding plates of Palace of Circe and parterre designs. This is the source design.,,Confectioners Workshop plinth,,Adeane
16-083,,Della Robbia vase with two dolphin handles,C.92.1 & A-1961,wall mounted case,G,Mellon
16-084,,Della Robbia vase with two dolphin handles,C.92.2 & A-1961,wall mounted case,G,Mellon
16-085,Joris van Son,Still life with a lobster,M.76,North Wall,D,20th Century
16-086,,Pewter plate with swan pie,NAV.248A-1933,feasting table,D,20th Century
16-087,,Pewter plate with swan pie,NAV.248B-1933,feasting table,D,20th Century
16-088,,Pewter plate with partidge pie,NAV.120-1933,feasting table,D,20th Century
16-089,,Pewter plate with pheasant pie,NAV.M.13-1933,feasting table,D,20th Century
16-090,,Pewter Tazza / footed dish with lobder & oysters,NAV.111-1933,feasting table,D,20th Century
16-091,,Blue & white ming plate with crayfish,C.10-1973,feasting table,D,20th Century
16-092,,Silver-Gilt Tazza with apricots,MAR.M.47-1912,feasting table,D,20th Century
16-093,,"Soda glass, tazza",MAR.C.118-1912,feasting table,D,20th Century
16-094,,Silver-gilt standing cup,MAR.M-74-1912,feasting table,D,20th Century
16-095,,Standing cup and cover,MAR.M.51 & A-1912,feasting table,D,20th Century
16-096,,knife and fork,M.61A-B-1930,feasting table,D,20th Century
16-097,,Pair of knives,M.41A & B-1930,feasting table,D,20th Century
16-098,,Wine glass,MAR.C.128-1912,feasting table,D,20th Century
16-099,,Basin,M/P.9-1938,Wall case 2 ,A,Adeane 
16-100,,Ewer,M/P.10-1938,Wall case 2 ,A,Adeane 
